C[C@H]([C@@H](C)Cl)Cl,2.3
C(C=CBr)N,0.3
CCC(CO)Br,1.3
[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,2
CCCOCCP,0.6
C(C(F)(F)F)F,1.7
[2H]C([2H])C(C)(C)Cl,1.8
CCCC(CI)O,2.0
CCCCCC[CH+]C,3.9
C(CO)NCCO,-1.4
CCCCP(C)P,1.1
C(O)OOOCO,-1
C1CC1CCP,1.4
COCCC(Cl)Cl,1.8
[2H]C1=CSC=C1[2H],1.8
CCCCCl,2.6
C(=O)C(N)Br,-0.3
C(=S)(S)[S-],1.5
C(C(CBr)S)Br,2.1
CCSCCCCN,1
CC(C)C(C)O,1.3
CCCOC(C)N,0.6
CCC[I-]I,3.5
CC[CH]CC(C)CC,4.3
CN(C)CCCBr,1.4
C(CO)COS,0.2
CC(C)NCCl,1.3
C=CC(P)P,0.4
COCCl,0.8
C(SF)SF,1.9
CC(=S)P,0.3
C[I-]CON,0.7
CCC[C@@H](CN)N,-0.3
C(F)(F)(S)Cl,2
CC(CO)SO,-0.3
CC(=C)CCl,2.1
CCI(C)NC,1.6
C(=S)(S)I,1.8
[2H]C(C(C)(C)C)N,1
CC(C(F)F)F,1.9
C(CP)CP,-0.1
C[C@H](CNC)OC,0.1
C(N)(S)S,0.1
COOOBr,1.1
C(CS)CBr,1.6
CC=PP,-1.1
CCC(C)CCF,2.8
CCCNP(C)C,0.6
C(N)(N)NP,-2
C[C@H](CCN)CO,-0.2
C(CSCCCl)N,0.5
C1CSSS1,1.1
CCC(NC)Cl,1.4
C(CC=S)CO,-0.1
COCCNPF,0.1
[2H]C([2H])([2H])C(C)(C)CO,1.3
[2H]C(P([3H])C)I,0.7
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,0.9
C1CC1OI,1.5
C([C@H](F)Br)O,0.8
CS(N)(Cl)Cl,1.7
[CH]C[C@H](CO)O,-0.2
CNCCN(C)N,-0.9
C(OS)OSI,1.8
C(P)P=O,-1
CC(C)N(F)F,1.2
CCC(C)OCO,0.8
CC(F)(F)Br,2.1
C[S+](C)CCO,0.2
[2H]C([2H])(C)CI,2.6
C(O)OOC=O,-0.4
C(OOSF)F,1.5
CC(C=C)S,1.6
CCC(C)CC[NH3+],1.5
CC(C)CCOCl,2.6
CN(C)NN(C)C,0.3
CCCCOC,1.7
CSOSS,1.4
C[NH2+]/C=C\S,0.6
CCCCCC[CH]C,3.9
CCC(C)[CH+]C,3.2
C1CO[PH2+]C1,0.1
CCC(CO)S,0.8
C=II,2.3
C1C(CO1)Cl,0.5
[2H]C(CCO)CO,-0.8
CNC(=S)[S-],0.7
